station,feature,mean_abs_shap,normalized
Daegwallyeong,month_cos,0.0344465970993042,0.006154091269633489
Daegwallyeong,temp_lag_1,0.04837056249380112,0.008641691238533847
Daegwallyeong,temp_lag_2,0.05964232236146927,0.010655458775427146
Daegwallyeong,temp_lag_3,0.10705189406871796,0.01912546324348926
Daegwallyeong,humidity_lag_1,0.04685498774051666,0.008370924714607651
Daegwallyeong,humidity_lag_2,0.056153129786252975,0.010032093584859677
Daegwallyeong,humidity_lag_3,0.155122771859169,0.027713614011502533
Daegwallyeong,vis_lag_1,0.20098258554935455,0.03590674491044669
Daegwallyeong,vis_lag_2,0.14884330332279205,0.026591749277338816
Daegwallyeong,vis_lag_3,0.03520575538277626,0.006289719452327904
Daegwallyeong,temp_roll_mean_2h,0.04234206676483154,0.007564664302383343
Daegwallyeong,humid_roll_std_2h,0.10417083650827408,0.018610745022443344
Baengnyeongdo,시정(10m),2.2065696716308594,0.36519974845030473
Baengnyeongdo,기온(°C),0.06961579620838165,0.01152180762308684
Baengnyeongdo,이슬점온도(°C),0.030085265636444092,0.004979281453809465
Baengnyeongdo,습도(%),0.4445940852165222,0.07358283319627248
Baengnyeongdo,풍속(m/s),0.04428235813975334,0.007328980481034025
Baengnyeongdo,현지기압(hPa),0.393508642911911,0.06512790384644244
Baengnyeongdo,지면온도(°C),0.07823607325553894,0.012948512181600518
Baengnyeongdo,dew_point_depression,0.9824345707893372,0.162598472522272
Baengnyeongdo,hour,0.09948385506868362,0.01646514012815988
Baengnyeongdo,air_ground_diff,0.09166115522384644,0.015170439103185988
Baengnyeongdo,dpd_ratio,0.10385560244321823,0.017188689020358836
Baengnyeongdo,ground_air_diff,0.030926277860999107,0.0051184737289503264
Baengnyeongdo,ground_air_diff_1h,0.09144868701696396,0.015135274414436406
Baengnyeongdo,rel_humid,0.17312991619110107,0.02865397936675249
Baengnyeongdo,weekday,0.02806336246430874,0.004644645054448026
Baengnyeongdo,is_weekend,0.0023262430913746357,0.000385006375609425
Baengnyeongdo,month_sin,0.10867633670568466,0.017986547779424128
Baengnyeongdo,month_cos,0.08569388091564178,0.01418282148824812
Baengnyeongdo,temp_lag_1,0.025312695652246475,0.004189394154940606
Baengnyeongdo,temp_lag_2,0.0370008759200573,0.006123854031066564
Baengnyeongdo,temp_lag_3,0.054123129695653915,0.008957683776913016
Baengnyeongdo,humidity_lag_1,0.040244538336992264,0.0066606984887567855
Baengnyeongdo,humidity_lag_2,0.02288210764527321,0.0037871181062188322
Baengnyeongdo,humidity_lag_3,0.08509562909603119,0.014083807431796302
Baengnyeongdo,vis_lag_1,0.41031286120414734,0.06790909692279475
Baengnyeongdo,vis_lag_2,0.15610766410827637,0.02583670046610002
Baengnyeongdo,vis_lag_3,0.06975843757390976,0.011545415575049204
Baengnyeongdo,temp_roll_mean_2h,0.03469396382570267,0.005742047044690012
Baengnyeongdo,humid_roll_std_2h,0.04196610674262047,0.006945627787277748
Incheon,시정(10m),2.3891184329986572,0.34783843929779024
Incheon,기온(°C),0.08857245743274689,0.012895511973220773
Incheon,이슬점온도(°C),0.04345495253801346,0.006326728161236637
Incheon,습도(%),0.4382069408893585,0.06379977497268724
Incheon,풍속(m/s),0.09066072106361389,0.013199548119847216
Incheon,현지기압(hPa),0.24362897872924805,0.03547062487920782
Incheon,지면온도(°C),0.15968570113182068,0.023249088154307124
