station,task,model,seed,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn,n_test,n_positive_test,positive_prevalence_test,val_f1,scale_pos_weight,best_epoch,n_train_sequences
Baengnyeongdo,onset,No-Onset Baseline,,,0.9868348200553676,0.5,0.0,0.0,0.0,0.5,0.01316517994463242,0,0,16041,214,16255,214,0.01316517994463242,,,,
Baengnyeongdo,onset,XGBoost-Onset,42.0,0.8949999999999999,0.9754537065518302,0.71323498138823,0.25333333333333335,0.4439252336448598,0.3225806451612903,0.9545047241676848,0.2603199203213642,95,280,15761,119,16255,214,0.01316517994463242,0.34285714285714286,67.48462484624847,,
Baengnyeongdo,onset,1D-CNN-Onset,42.0,0.8599999999999999,0.9765610581359582,0.6400271325755789,0.2150170648464164,0.29439252336448596,0.2485207100591716,0.9211879372192867,0.181253529206184,63,230,15811,151,16255,214,0.01316517994463242,0.22377622377622378,,3.0,54671.0
Baengnyeongdo,onset,LSTM-Onset,42.0,0.8799999999999999,0.9742848354352507,0.687284685796385,0.22580645161290322,0.3925233644859813,0.28668941979522183,0.9532349056477357,0.21907411470694346,84,288,15753,130,16255,214,0.01316517994463242,0.3279742765273312,,5.0,54671.0
Baengnyeongdo,onset,XGBoost-Onset,1337.0,0.8999999999999999,0.9761919409412488,0.6974720736057777,0.2521489971346705,0.411214953271028,0.31261101243339257,0.9540864035907985,0.24843655324027053,88,261,15780,126,16255,214,0.01316517994463242,0.33783783783783783,67.48462484624847,,
Baengnyeongdo,onset,1D-CNN-Onset,1337.0,0.845,0.974100276837896,0.6480014413998707,0.19648093841642228,0.3130841121495327,0.24144144144144145,0.9353920473646095,0.1876843503007577,67,274,15767,147,16255,214,0.01316517994463242,0.2468354430379747,,5.0,54671.0
Baengnyeongdo,onset,LSTM-Onset,1337.0,0.815,0.9571824054137189,0.7938833141942929,0.17866666666666667,0.6261682242990654,0.27800829875518673,0.9529963230903054,0.24431329865223925,134,616,15425,80,16255,214,0.01316517994463242,0.2846153846153846,,5.0,54671.0
Baengnyeongdo,onset,XGBoost-Onset,2024.0,0.8699999999999999,0.9726238080590588,0.7302433833395382,0.23569794050343248,0.48130841121495327,0.31643625192012287,0.9543142076932534,0.25788266631092216,103,334,15707,111,16255,214,0.01316517994463242,0.3409090909090909,67.48462484624847,,
Baengnyeongdo,onset,1D-CNN-Onset,2024.0,0.815,0.9636419563211319,0.7095555955620731,0.1687170474516696,0.4485981308411215,0.24521072796934865,0.9407423850215597,0.18368686594476563,96,473,15568,118,16255,214,0.01316517994463242,0.26463104325699743,,8.0,54671.0
Baengnyeongdo,onset,LSTM-Onset,2024.0,0.825,0.9688095970470625,0.7375319493797146,0.21104536489151873,0.5,0.29680998613037446,0.9547071843354675,0.22336783148433642,107,400,15641,107,16255,214,0.01316517994463242,0.32105263157894737,,7.0,54671.0
Paju,overall,Persistence,,,0.9828646486357394,0.8114858274997194,0.6333333333333333,0.6317135549872123,0.6325224071702945,0.8114858274997194,0.4086827797025405,247,143,16215,144,16749,391,0.023344677294166817,,,,
Paju,overall,XGBoost,42.0,0.9349999999999999,0.9789241148725297,0.8793680184641035,0.5334507042253521,0.7749360613810742,0.6319082377476538,0.978007898088455,0.6906330021791319,303,265,16093,88,16749,391,0.023344677294166817,0.7108433734939759,49.48311156601842,,
Paju,overall,1D-CNN,42.0,0.945,0.9577885246880411,0.8498245303532939,0.32286995515695066,0.7365728900255755,0.4489477786438036,0.9623486822500015,0.4525961124705528,288,604,15754,103,16749,391,0.023344677294166817,0.5830903790087464,,6.0,47217.0
Paju,overall,LSTM,42.0,0.95,0.9754612215654666,0.8476382345280111,0.4826989619377163,0.7135549872122762,0.5758513931888545,0.974472785866368,0.5819271054675687,279,299,16059,112,16749,391,0.023344677294166817,0.6586102719033232,,8.0,47217.0
Paju,overall,XGBoost,1337.0,0.95,0.9810137918681713,0.857970118096091,0.5734406438631791,0.7289002557544757,0.6418918918918919,0.9776801139716239,0.6943658676474092,285,212,16146,106,16749,391,0.023344677294166817,0.71875,49.48311156601842,,
Paju,overall,1D-CNN,1337.0,0.95,0.9716998029733118,0.7558417180296743,0.4164989939637827,0.5294117647058824,0.46621621621621623,0.9583947912266115,0.4476595029984531,207,290,16068,184,16749,391,0.023344677294166817,0.5932721712538226,,12.0,47217.0
Paju,overall,LSTM,1337.0,0.95,0.9542659263239597,0.8917083517172824,0.31635651322233105,0.8260869565217391,0.45750708215297453,0.9726288145456411,0.509977592048762,323,698,15660,68,16749,391,0.023344677294166817,0.5714285714285714,,8.0,47217.0
Paju,overall,XGBoost,2024.0,0.95,0.9805361514120245,0.8602220020143909,0.5638506876227898,0.7340153452685422,0.6377777777777778,0.9778309118636743,0.6848833820105581,287,222,16136,104,16749,391,0.023344677294166817,0.7088607594936709,49.48311156601842,,
Paju,overall,1D-CNN,2024.0,0.9349999999999999,0.969192190578542,0.8668965090248903,0.41307371349095967,0.7595907928388747,0.5351351351351351,0.9686001890563101,0.5184186443841929,297,422,15936,94,16749,391,0.023344677294166817,0.6141304347826086,,15.0,47217.0
Paju,overall,LSTM,2024.0,0.94,0.9671025135829004,0.8658266960893236,0.39389920424403185,0.7595907928388747,0.5187772925764192,0.9704981786991763,0.5204248736026358,297,457,15901,94,16749,391,0.023344677294166817,0.5994550408719346,,5.0,47217.0
Paju,onset,No-Onset Baseline,,,0.991197505960022,0.5,0.0,0.0,0.0,0.5,0.008802494039977994,0,0,16215,144,16359,144,0.008802494039977994,,,,
Paju,onset,XGBoost-Onset,42.0,0.94,0.9734702610183996,0.7698099753314832,0.17920353982300885,0.5625,0.27181208053691275,0.9425056532017678,0.17734474915622145,81,371,15844,63,16359,144,0.008802494039977994,0.24615384615384617,147.74461538461537,,
Paju,onset,1D-CNN-Onset,42.0,0.9349999999999999,0.9744483159117305,0.6739445215335595,0.1394736842105263,0.3680555555555556,0.20229007633587787,0.9261220748963579,0.1295834298665379,53,327,15888,91,16359,144,0.008802494039977994,0.24347826086956523,,5.0,46287.0
Paju,onset,LSTM-Onset,42.0,0.95,0.974264930619231,0.735796972967417,0.16945107398568018,0.4930555555555556,0.2522202486678508,0.9372426080104157,0.1749696409309307,71,348,15867,73,16359,144,0.008802494039977994,0.22857142857142856,,5.0,46287.0
Paju,onset,XGBoost-Onset,1337.0,0.945,0.9731646188642338,0.7627730239490185,0.17439293598233996,0.5486111111111112,0.2646566164154104,0.9425420563949704,0.1733833520446185,79,374,15841,65,16359,144,0.008802494039977994,0.26356589147286824,147.74461538461537,,
Paju,onset,1D-CNN-Onset,1337.0,0.95,0.9512195121951219,0.7413788673039368,0.09429280397022333,0.5277777777777778,0.16,0.9265475639839654,0.13795695830906873,76,730,15485,68,16359,144,0.008802494039977994,0.21714285714285714,,10.0,46287.0
Paju,onset,LSTM-Onset,1337.0,0.95,0.9726144629867352,0.7177574776441566,0.15137614678899083,0.4583333333333333,0.22758620689655173,0.9374800853119539,0.16786061431629137,66,370,15845,78,16359,144,0.008802494039977994,0.21476510067114093,,6.0,46287.0
Paju,onset,XGBoost-Onset,2024.0,0.94,0.9706583532000733,0.782157081920033,0.16798418972332016,0.5902777777777778,0.26153846153846155,0.9450294651728509,0.18463766404586449,85,421,15794,59,16359,144,0.008802494039977994,0.25196850393700787,147.74461538461537,,
